age,monthly_income,assets,deposit,monthly_rent,management_fee,monthly_debt_payment,household_size,region,region_cost_index,is_unemployed,car_value,burden_class
35,3164264,18287231,10521184,372717,114642,0,1,충북,0.86,0,0,0
24,2555245,88933677,27127937,641889,107028,0,1,인천,1.08,0,3246685,1
23,2512696,39133148,25024715,352429,96191,0,1,경북,0.82,0,0,0
37,3139449,36398967,5964623,731832,77264,0,1,부산,1.02,0,2353985,0
29,4614583,23910587,32925724,180000,194048,0,2,전남,0.78,0,19302904,0
21,3438231,35839277,91315753,477972,154944,0,2,서울,1.35,0,0,0
36,5624103,75497085,13450846,193667,159345,0,1,전남,0.78,0,0,0
32,4965002,37229109,17004387,212401,151576,440787,3,전남,0.78,0,0,0
19,5804974,112447904,7726466,264962,97387,0,3,전남,0.78,0,0,0
35,5493972,50803455,32259251,478608,102779,0,1,충남,0.87,0,279156,0
31,5972764,23714913,1008369,413386,112100,0,1,세종,1.0,0,1645264,0
31,1857609,14883943,44869675,180000,96394,190573,1,충남,0.87,0,0,0
37,4029067,72346478,44182729,451052,141187,214211,1,대구,0.93,0,0,0
29,5150117,16191048,4173241,199884,78689,200021,1,전남,0.78,0,19747438,0
28,5566260,52638241,7270522,608162,71140,0,1,강원,0.84,0,0,0
31,2189630,39292539,14242474,243298,65306,568847,3,울산,0.94,0,0,2
23,4046350,5820289,34053653,373322,100659,519155,1,세종,1.0,0,0,0
22,3150241,35166608,3150129,649240,91964,0,2,강원,0.84,0,0,0
36,6748886,52710097,14888031,565367,98042,235925,1,서울,1.35,0,0,0
23,1679685,20473811,29629541,514421,116691,391340,1,인천,1.08,0,0,2
29,2190976,22319847,4502565,414659,69655,323122,2,대구,0.93,0,0,1
24,1400136,21537018,18517290,508842,141280,394965,1,경기,1.15,0,351281,2
23,3245686,59513761,17665094,301273,72284,0,1,울산,0.94,0,0,0
31,8073547,23234553,5814563,460196,68096,0,1,충남,0.87,0,1095539,0
35,2992397,12509671,15682881,561429,86611,0,1,충남,0.87,0,0,0
28,1358044,32549621,19353230,180000,107167,0,1,세종,1.0,1,0,1
21,2334645,3201693,8022189,246976,138159,117785,1,경북,0.82,1,11854276,0
24,2901236,34334963,2704052,315599,105868,151973,1,강원,0.84,0,0,0
22,3569883,10166086,3288862,415123,59136,0,1,경기,1.15,0,3051624,0
37,3610306,28958854,20254509,418929,124224,53905,1,전남,0.78,0,0,0
25,2120289,11207670,21763596,275994,124871,0,1,강원,0.84,0,0,0
26,2929118,76944755,11032577,396374,88607,0,1,충북,0.86,0,4759753,0
20,4196172,36213650,12554023,574757,114460,0,1,강원,0.84,0,0,0
28,4546826,13791893,9421769,180000,158691,274933,1,강원,0.84,0,0,0
38,5330779,43163746,49961027,498361,85053,0,2,경기,1.15,0,0,0
27,3523233,10002276,9593883,361922,142097,0,1,강원,0.84,0,0,0
32,3554198,28437065,46858607,270770,151454,0,1,전남,0.78,0,2300537,0
22,4211088,62848834,7895423,324994,117714,0,1,대전,0.98,0,0,0
22,2361721,36732060,32109452,298234,65906,33964,3,충북,0.86,0,3898907,1
34,2320439,15187764,6557345,622282,165442,0,1,서울,1.35,0,4089164,1
20,2890642,6530798,22416476,397641,143620,0,1,대전,0.98,0,3061926,0
28,1762766,42279437,3938560,529215,129873,0,1,울산,0.94,0,8912608,1
25,3633182,85285536,10282768,323631,111046,115050,1,제주,1.04,0,385353,0
19,4788642,23534730,37462549,227140,152948,0,1,부산,1.02,0,0,0
30,2247510,67163026,4091338,180000,80708,0,1,대구,0.93,0,4365579,0
39,3677583,45936526,45086857,370132,140019,0,1,광주,0.91,0,0,0
20,2327082,40271601,33488561,533990,101621,200279,1,제주,1.04,0,3466365,1
36,1969962,15724907,26237084,182394,49365,358858,1,경북,0.82,0,33011767,0
30,7381913,25354965,43101641,390783,84539,0,2,서울,1.35,0,12371125,0
34,1982148,27340859,53223018,643876,126577,140403,1,부산,1.02,0,10405191,2
21,1759508,1936956,17892542,508629,114937,65904,2,전남,0.78,0,6501523,2
37,3345008,23040407,13302685,791942,135214,52776,2,서울,1.35,0,8180567,0
19,3423303,16009051,22549676,394209,95193,0,2,경북,0.82,0,0,0
38,4063527,22231760,15108567,506644,117846,0,2,대구,0.93,0,11991396,0
32,7211447,24695683,38892196,299332,130811,81579,1,경남,0.86,0,0,0
26,2183602,48090613,15933954,217808,193058,0,1,대구,0.93,0,7214290,0
19,2378366,48027466,31616556,202672,96955,0,1,울산,0.94,0,33092425,0
31,6091705,75713817,5935865,399239,145006,818488,1,충남,0.87,0,3362248,0
20,4567495,53219923,17117785,603376,136391,0,1,인천,1.08,0,0,0
31,4302415,38081799,13690583,348916,112773,0,1,강원,0.84,0,0,0
35,2366703,79944141,45397774,475040,66453,198699,1,세종,1.0,0,0,0
24,2791279,17180872,24688648,312519,155806,607329,3,전남,0.78,1,3991502,1
24,4308157,25617179,7180321,517684,121589,0,1,제주,1.04,0,0,0
23,3308989,89399894,15424162,486743,88459,0,1,충남,0.87,0,0,0
23,2371737,16695234,11580635,587678,79066,0,1,광주,0.91,0,0,0
21,3193191,1352917,29282065,416442,119155,0,1,광주,0.91,0,9427788,0
24,6196539,6714884,32784598,647882,77854,33695,2,울산,0.94,0,0,0
32,1905483,27761630,32908308,279188,87255,0,1,전남,0.78,0,1652576,0
25,2162420,11261893,33840981,581770,90862,271623,1,대전,0.98,0,0,1
35,945229,11837515,8831908,571224,115376,367998,1,인천,1.08,1,0,2
36,2556115,61830150,15968861,186322,132577,0,1,대전,0.98,0,5976052,0
34,3029431,41060018,50058154,740242,108581,0,1,서울,1.35,0,6930308,1
30,4605850,5116183,54634466,323667,107860,325828,4,경기,1.15,0,13077784,0
25,3719353,56804611,5275843,497936,119089,0,1,경기,1.15,0,8081231,0
38,3130846,120076286,20999884,448775,80961,0,1,전남,0.78,0,0,0
23,3435797,14178168,13456177,252612,87047,0,1,전북,0.8,0,0,0
28,2050282,39956091,18860331,367242,92784,0,1,충남,0.87,1,28626223,0
28,1479950,11973161,29764032,479925,120761,0,4,울산,0.94,0,0,2
34,4835201,33707975,14595368,240189,163908,0,1,전북,0.8,0,6223763,0
30,2137814,41419430,21723227,438832,70161,0,1,인천,1.08,0,1271487,0
35,2520437,35131218,5432931,347250,117290,15598,1,경남,0.86,0,0,0
38,3530815,24450615,16289648,572442,103966,0,1,세종,1.0,0,8884893,0
27,2952691,19005430,13296386,593319,102978,0,1,경남,0.86,0,14674734,0
37,3760386,12170250,15986078,331917,96680,0,1,인천,1.08,0,0,0
22,1316717,26804046,14512578,455821,151944,128351,2,세종,1.0,1,0,2
38,2693196,92652704,49369672,254215,25000,142050,1,충남,0.87,0,10131636,0
22,5885594,6680532,31281557,421010,72252,0,1,세종,1.0,0,0,0
36,4135506,78524961,5001935,671804,148830,0,2,울산,0.94,0,0,0
27,3473116,22255311,2451603,554709,154529,0,1,인천,1.08,0,0,0
39,4107954,11618922,14306717,327368,171618,0,1,광주,0.91,0,17937983,0
21,2252070,49441324,37194162,189156,121192,0,1,대구,0.93,0,0,0
28,7770181,31105725,6930666,583695,128437,0,1,대전,0.98,0,1688115,0
37,1910677,22211633,30751756,294632,43932,284822,2,충남,0.87,0,0,1
19,3202091,12892626,7276968,287070,109023,54086,1,충북,0.86,0,5823479,0
24,2696564,15741294,10931319,426656,128505,0,1,충북,0.86,0,24083391,0
20,2652874,22417707,13717200,482546,92943,0,1,광주,0.91,0,0,0
25,2508817,30258581,18963888,406811,109653,0,1,제주,1.04,0,7895272,0
27,2188697,32356424,4590011,404996,158427,461267,1,경기,1.15,0,0,0
31,5084154,53118910,5051894,636767,162546,0,2,대전,0.98,0,4107237,0
24,1816878,26274051,13446403,577019,122521,736759,1,인천,1.08,0,0,2
22,4655615,33779824,2914985,588924,109780,0,1,대전,0.98,0,0,0
22,4030993,27160126,11865968,420438,138392,0,4,제주,1.04,0,0,0
38,2589224,6297929,19867276,281921,97090,361044,1,광주,0.91,0,5374487,0
39,3834974,22111831,5647109,322678,145462,567686,1,경남,0.86,0,0,0
23,2849789,9325357,11052856,245518,93629,0,1,세종,1.0,0,0,0
23,1899724,25356170,16961973,334904,135390,0,1,충남,0.87,0,0,0
20,1908381,27292328,4271615,343366,109991,370534,1,울산,0.94,0,0,0
39,4042978,33831082,20457287,391833,88791,178986,1,대구,0.93,0,0,0
33,3953799,42049809,13152475,360260,120171,170058,1,전북,0.8,0,0,0
34,3384501,46649035,8366047,486823,99150,0,1,제주,1.04,0,0,0
25,2577421,23275221,39991429,290091,145260,573135,1,대구,0.93,0,9488612,0
32,2810201,52091817,4800243,198026,72359,0,2,전남,0.78,0,0,0
20,2651575,19464983,21562180,205748,118324,0,1,대구,0.93,0,0,0
33,1439010,37519730,19062577,369968,81977,0,2,전북,0.8,0,0,2
31,3131401,6827873,4871035,376592,149200,0,1,전남,0.78,0,0,0
25,3818269,23307783,7917537,240410,135694,0,1,울산,0.94,0,5359602,0
33,3139970,51407335,21238694,532467,106032,0,1,전북,0.8,0,0,0
32,6526532,31509577,31037184,497028,109925,0,1,대구,0.93,0,0,0
28,1980164,13006675,25596707,359085,174254,0,1,경기,1.15,0,0,1
22,2295308,30464856,30418048,524629,141869,0,1,경기,1.15,0,10078585,1
19,1772794,20260774,10734132,405076,84227,0,1,울산,0.94,1,0,0
38,3387057,45458945,33360738,383071,141635,0,1,경남,0.86,0,4642738,0
24,1346652,12256805,3453055,524949,94064,376312,1,인천,1.08,0,8727077,2
25,3952316,22536883,19418099,499465,116035,0,1,울산,0.94,0,19846133,0
33,3393690,14553285,32911513,552641,35702,0,1,충남,0.87,0,0,0
24,1226056,15749245,35265976,459837,140963,306777,1,부산,1.02,0,1040717,2
26,2900713,29945392,454987,447175,84161,27944,1,전북,0.8,0,0,0
33,2154306,13346343,31311554,605122,104294,27513,1,대전,0.98,0,0,1
31,2509824,29806881,8740928,279131,58401,0,1,전남,0.78,0,0,0
32,1715592,13233541,9196075,253202,114793,185628,1,강원,0.84,0,0,0
19,3647721,19028304,17924013,455043,110946,0,1,강원,0.84,0,4816116,0
28,6505874,9736720,6104454,303932,67837,26539,1,부산,1.02,0,0,0
28,3418158,98855661,22434871,294633,111822,0,2,울산,0.94,0,15978392,0
32,800000,51065499,29882719,537772,98759,0,1,경북,0.82,1,8950506,2
22,3448529,20163918,64155372,293522,162538,0,2,서울,1.35,0,1482668,0
22,2805122,67939183,50572473,330912,82803,0,1,전북,0.8,0,0,0
35,1119655,16940999,21890361,238089,128765,303396,1,세종,1.0,1,9552156,2
33,3550896,62746839,7863380,418053,56135,0,1,전북,0.8,0,5694431,0
36,4452387,45020942,6349159,645481,111940,5407,1,충남,0.87,0,0,0
24,2288026,13196935,67187079,190863,123195,0,1,울산,0.94,0,0,0
39,965696,45133808,12969732,180000,125820,0,2,대전,0.98,1,13507912,2
24,1284183,49335077,891525,450826,104762,0,1,충북,0.86,0,0,1
32,2290791,30354772,8733748,408030,174372,435050,1,인천,1.08,0,7163112,0
22,2852726,45011568,8768809,355041,95860,0,1,강원,0.84,0,16426168,0
38,2443079,47055292,37188768,526515,132161,18894,1,경기,1.15,0,0,1
25,2273522,31941924,43303120,411281,98121,14751,2,충남,0.87,0,0,0
35,3893616,14518103,30077837,430391,79593,450021,1,충북,0.86,0,15565959,0
25,3721612,30550175,31547681,483162,73733,0,1,경기,1.15,0,8482955,0
35,3323328,31433606,40564342,365864,75596,207552,3,전북,0.8,0,0,0
28,4332875,40302859,32106120,361842,131831,0,3,울산,0.94,0,0,0
20,2300047,9161326,33418279,265377,153607,0,1,전남,0.78,0,11227885,0
22,1904998,46006681,14044454,608426,140744,0,1,서울,1.35,0,0,1
33,2436440,22981757,5482838,548009,100714,0,2,부산,1.02,0,0,0
23,2365244,9400754,7109774,370565,90010,52783,1,세종,1.0,0,0,0
24,1262491,41004084,15767961,481595,118189,0,1,부산,1.02,0,0,2
30,2412219,72694311,63123467,291323,75113,0,1,대전,0.98,0,0,0
24,4904864,27093225,9632611,293171,140072,0,2,충남,0.87,0,0,0
21,4303844,65618484,7921501,636074,126692,0,2,인천,1.08,0,2802851,0
32,3822752,20870576,76217873,329431,75269,0,1,충남,0.87,0,0,0
33,3227595,16905077,26190754,547323,167498,176111,1,경기,1.15,0,0,0
34,5686915,62308857,13219907,357503,71544,0,1,인천,1.08,0,2565342,0
38,1933379,49374801,3868788,354932,110292,215921,1,강원,0.84,0,5793734,0
21,2014288,6340267,3191311,442276,136342,0,2,전남,0.78,0,0,1
27,4946046,76986680,40380402,489202,139462,0,1,인천,1.08,0,5314574,0
23,3086420,22670882,1817420,803732,89685,0,1,대전,0.98,0,5043198,0
37,2285386,34162102,14715048,408870,94490,0,1,경남,0.86,0,0,0
30,3866962,86967138,50667134,312895,79429,0,1,제주,1.04,0,0,0
21,2525908,66964976,9145218,320507,116138,0,2,강원,0.84,0,3276040,0
33,2127623,69779028,21398960,289792,139383,0,1,울산,0.94,0,17171476,0
19,2102318,13251486,8855256,358287,44733,0,2,대전,0.98,0,0,0
24,3502258,30768147,56876426,320973,128375,0,1,충북,0.86,0,0,0
34,3332232,42382576,21521058,305006,91702,155869,1,충북,0.86,0,0,0
29,5855273,13890182,46714596,561556,108305,0,1,대전,0.98,0,0,0
34,2692320,16083033,25247289,710516,82431,157062,1,서울,1.35,0,0,1
30,2672642,24074632,24255934,583014,92102,0,1,인천,1.08,0,236068,0
36,5664304,56103865,28772425,405882,182611,0,1,제주,1.04,0,8545807,0
30,4659787,3208625,14311697,540836,98839,1547532,1,울산,0.94,0,15457939,0
20,3246079,26013483,34149280,550068,111619,0,2,세종,1.0,0,0,0
20,800000,7576699,16341290,629460,78660,284875,1,울산,0.94,1,0,2
35,2151239,56820634,23450473,253681,197560,241256,1,전남,0.78,0,6106866,0
19,1938435,31819221,56592982,445859,131607,0,2,경기,1.15,0,0,1
26,3098183,8598122,23885847,398532,114547,0,1,경기,1.15,0,1444018,0
19,2451144,49646446,9661889,776978,142673,0,2,대구,0.93,0,12601132,1
25,2140707,32323422,46431018,363815,124424,472968,1,세종,1.0,1,0,1
31,892629,24999029,24041804,540263,103116,557936,1,충남,0.87,1,0,2
22,1851073,97813364,12887276,469233,107510,0,1,세종,1.0,0,0,1
28,3388312,23599387,8290657,546428,56807,203823,2,울산,0.94,0,0,0
39,3816597,24763148,127106,402028,96126,0,1,경남,0.86,0,0,0
20,1002677,39062125,20328369,597669,96074,207210,1,인천,1.08,0,0,2
20,1446165,76657137,14980578,406636,119717,0,3,강원,0.84,0,6949702,2
24,1222758,1014582,6611799,613757,101069,322815,1,강원,0.84,1,0,2
36,5464324,64800456,8050411,497651,136003,0,2,세종,1.0,0,0,0
27,6868040,43301943,6807088,257495,110650,461496,1,전남,0.78,0,4103421,0
32,2552077,74194785,15734536,480295,81017,0,3,대구,0.93,0,3600980,1
19,2834210,59768047,39468688,422952,164986,0,2,제주,1.04,0,6750225,0
34,2128227,38596678,14791724,302264,98028,0,4,대전,0.98,0,0,1
20,4004506,39647879,10252048,428568,127878,246199,1,강원,0.84,0,0,0
33,5885015,34115695,5782769,376901,66112,175100,2,세종,1.0,0,7726495,0
22,3039219,70295033,1481271,351053,134995,0,2,경북,0.82,1,0,0
37,3012202,22200206,5605033,437818,53422,0,1,울산,0.94,0,3183920,0
25,2126703,27277643,10286597,180000,178258,0,1,대구,0.93,0,4457272,0
22,3060769,45758177,12983790,554197,143665,0,3,서울,1.35,0,0,0
26,5522772,51805314,19644712,519019,102407,0,1,광주,0.91,0,772075,0
19,2567466,49852410,15893759,332423,128039,0,1,경북,0.82,0,0,0
22,1397252,37160315,8310975,363632,75341,98229,1,서울,1.35,0,0,1
31,2612578,52576776,18665198,361442,101840,0,1,경남,0.86,0,0,0
25,2705159,40552861,6896148,448277,134553,0,2,강원,0.84,0,187247,0
26,1393730,83047512,16913271,438641,133817,596880,1,인천,1.08,0,20569394,2
35,3370017,21155582,5644493,415165,111289,114522,1,대전,0.98,0,0,0
21,3791355,49966670,18159000,303679,119525,0,2,강원,0.84,0,0,0
27,6786229,25728830,9014443,529058,149383,0,1,대전,0.98,0,0,0
22,1719820,28799108,53393898,338751,140606,0,1,경기,1.15,0,0,1
29,1692250,90761825,8547317,468116,43389,229630,1,충남,0.87,1,7201637,1
25,4622248,85698673,4570812,364960,108868,0,2,충남,0.87,0,0,0
19,3813619,70279975,10387056,659116,114413,0,3,인천,1.08,0,0,0
20,1978258,17054773,6941597,359782,66693,0,1,대구,0.93,0,0,0
36,1929427,23288783,1287044,284961,73507,531374,1,대구,0.93,0,5353663,0
20,3180175,7394476,43395942,418670,161544,235802,1,충남,0.87,0,0,0
35,3170591,81157650,20325350,407970,82190,169499,1,전북,0.8,0,7193175,0
38,2397880,24896788,15543603,405180,92780,0,1,전북,0.8,0,0,0
28,5315066,22653502,11645933,498677,80931,0,1,경남,0.86,0,1324743,0
25,2567207,17638046,4520608,223668,121625,743231,1,전남,0.78,0,0,0
35,1351007,25080024,2465800,349976,121337,599152,1,대전,0.98,0,5013763,2
39,2769861,19146836,17809573,688381,183145,262786,1,경기,1.15,0,0,1
21,3749637,18753795,14674190,438048,90142,168641,2,충북,0.86,0,938775,0
39,3533133,44306842,10927980,324109,127246,0,1,경남,0.86,0,2117290,0
38,3521395,23730397,70992675,180000,46841,145925,1,제주,1.04,0,0,0
21,5798254,13360906,1348538,309135,62802,0,1,부산,1.02,0,8765297,0
20,1888498,67144993,13348499,285152,157063,0,2,대구,0.93,0,0,1
34,2541989,15013535,1925999,555461,158378,0,1,서울,1.35,0,2774482,0
20,5926980,24680979,13068852,526625,129296,117017,1,인천,1.08,0,1853918,0
31,1308892,29940689,9235619,194713,147909,287448,1,강원,0.84,0,0,2
20,2980386,13610626,2752803,318865,70831,0,1,강원,0.84,0,0,0
33,5173646,58597455,6107736,246748,167863,0,3,광주,0.91,0,0,0
23,5140594,65252269,12430709,382583,75340,37619,1,대전,0.98,0,0,0
21,4051113,6461518,11068000,688513,119386,184791,1,경북,0.82,0,3724932,0
20,4095466,16802983,8251265,588323,207697,0,2,울산,0.94,0,0,0
22,1949361,12662687,32557034,388682,76289,0,1,전남,0.78,0,0,0
30,5504730,23025931,34625138,359433,160076,0,1,제주,1.04,0,0,0
20,1820507,26103745,4770183,307106,145383,0,1,대전,0.98,0,0,0
35,1867805,14981276,4792624,459551,93763,0,1,부산,1.02,0,2713952,1
31,3603579,31718106,7798595,265826,186031,0,1,제주,1.04,0,0,0
25,2467352,86106641,17195473,462465,77012,0,2,충북,0.86,0,9554177,0
39,1810377,76175542,10393965,392671,109178,284493,2,대구,0.93,1,0,2
32,3670660,36205786,15414436,374278,131374,0,2,충북,0.86,0,0,0
33,6551728,9196415,34149180,187279,108655,68538,1,세종,1.0,0,8439624,0
22,3675331,48729715,5661786,401300,217717,0,1,경남,0.86,0,0,0
33,2337710,23985640,1876655,401638,66426,0,1,대구,0.93,0,0,0
30,4079732,62066933,23901693,319019,169508,0,3,제주,1.04,0,0,0
39,2132910,60754003,5585413,425007,29738,331034,2,경남,0.86,0,0,1
29,1706036,25113663,22233876,387804,25000,0,1,부산,1.02,1,0,0
33,3135948,31771687,20739106,512127,115613,0,1,인천,1.08,0,5366458,0
26,3623265,14083524,31052276,425484,134277,0,2,강원,0.84,0,4407968,0
19,1418302,5118256,27842107,440716,171853,0,2,서울,1.35,0,11481329,2
21,1158726,25617795,16016056,447819,167853,0,2,대전,0.98,0,0,2
37,1599241,50395972,14588214,428900,117679,376614,1,울산,0.94,0,0,2
34,6461252,32318710,58315258,557559,130323,268095,1,제주,1.04,0,0,0
26,1861598,25129585,18802569,570370,121384,0,1,제주,1.04,0,0,1
33,2061926,45328369,13218352,438104,167168,99067,1,인천,1.08,1,3166602,1
19,2314332,22757475,8323840,332577,65680,0,3,경남,0.86,0,0,1
19,1497990,30517895,26379099,515857,92033,0,1,경기,1.15,1,2411597,2
29,1531766,23515311,40144441,180000,137565,302229,1,전북,0.8,1,0,2
32,6184006,28092123,21704155,217063,144887,442913,1,경북,0.82,0,0,0
38,3921519,21268337,37980693,276468,156022,0,1,경남,0.86,0,0,0
34,3599179,21752893,28524830,180000,109972,0,1,부산,1.02,0,0,0
